user_id,username,email,country,account_age_days,device_fingerprint,ip_address,ip_asn,failed_login_count,password_resets,recent_password_reset_hours,signup_date,browser,device_type,is_fraudulent
U0029,user_29,user29@example.com,CN,49,62fa10a5a59e4134,101.6.51.19,AS16509,1,0,4604,2025-11-12,Firefox,tablet,0
U0039,user_39,user39@example.com,CA,813,5516b63125c344ba,142.36.240.57,AS7922,2,0,1834,2023-10-10,Edge,tablet,0
U0007,user_7,user7@example.com,FR,2,ae7cbb76b6294e2b,90.63.125.42,AS3320,6,4,2411,2025-12-29,bot_crawler,mobile,1
U0028,user_28,user28@example.com,KR,1401,796133f910d14706,59.6.122.68,AS15169,1,0,3442,2022-03-01,Firefox,tablet,0
U0062,user_62,user62@example.com,AU,721,72f4eb6254ca4629,101.160.142.193,AS16509,1,1,3653,2024-01-10,Safari,desktop,0
U0015,user_15,user15@example.com,BR,6,2e2f1d32cf8b4209,187.0.159.103,AS3320,12,5,3259,2025-12-25,Edge,unknown,1
U0071,user_71,user71@example.com,NG,718,fa21bb95f16244e3,41.207.253.218,AS7922,2,1,2862,2024-01-13,Firefox,unknown,0
U0070,user_70,user70@example.com,CN,690,7f61642e42a04123,101.6.44.72,AS3320,1,1,3892,2024-02-10,Firefox,unknown,0
U0016,user_16,user16@example.com,GB,161,e176c925c4ff49f6,86.6.10.151,AS15169,0,0,4737,2025-07-23,Firefox,mobile,0
U0082,user_82,user82@example.com,NG,1618,1ebd677d770f4fdb,41.207.194.116,AS7018,2,0,3826,2021-07-27,Safari,unknown,0
U0040,user_40,user40@example.com,DE,78,519ad394190d4220,91.194.204.85,AS3320,0,0,2482,2025-10-14,Chrome,tablet,0
U0003,user_3,user3@example.com,CN,0,dc97c35f83654804,101.6.216.88,AS3320,12,4,7,2025-12-31,Safari,desktop,1
U0056,user_56,user56@example.com,CA,1451,e70bc8c78cdb4469,142.36.109.17,AS3320,0,1,3598,2022-01-10,Edge,tablet,0
U0032,user_32,user32@example.com,GB,587,1e0b4ea6e6fd4272,86.6.107.184,AS15169,0,0,3008,2024-05-23,Firefox,tablet,0
U0088,user_88,user88@example.com,BR,926,145a090ffe1044e5,187.0.20.228,AS7922,2,1,3739,2023-06-19,Safari,tablet,0
U0046,user_46,user46@example.com,NG,861,2c3d3c9a22474f1c,41.207.0.78,AS7018,2,1,2550,2023-08-23,Firefox,unknown,0
U0097,user_97,user97@example.com,KR,1072,8af6da1f18644501,59.6.212.214,AS15169,2,1,4152,2023-01-24,Edge,mobile,0
U0021,user_21,user21@example.com,AU,317,4c4a68ccbc10492a,101.160.93.72,AS16509,0,1,3989,2025-02-17,Firefox,desktop,0
U0098,user_98,user98@example.com,CN,815,bc139bceaca847b7,101.6.69.222,AS3320,2,0,771,2023-10-08,Safari,unknown,0
U0035,user_35,user35@example.com,BR,184,dd52382217524121,187.0.18.214,AS3320,0,0,3224,2025-06-30,bot_crawler,mobile,0
U0073,user_73,user73@example.com,GB,1030,bf9f822ef2d040f8,86.6.123.177,AS7018,0,1,4100,2023-03-07,Edge,unknown,0
U0080,user_80,user80@example.com,CA,1794,dfe8d0e0ccdc4709,142.36.58.211,AS16509,0,1,735,2021-02-01,Edge,unknown,0
U0067,user_67,user67@example.com,GB,1771,c17b60cd78bf4832,86.6.61.204,AS7018,2,1,4836,2021-02-24,Chrome,tablet,0
U0022,user_22,user22@example.com,CN,133,79052ce555554456,101.6.7.249,AS7018,2,0,964,2025-08-20,Firefox,mobile,0
U0055,user_55,user55@example.com,GB,510,aae48e0433bd4033,86.6.171.82,AS15169,2,1,4624,2024-08-08,Chrome,mobile,0
U0091,user_91,user91@example.com,GB,866,c499ae5c5af343b8,86.6.164.172,AS15169,1,1,1056,2023-08-18,Firefox,tablet,0
U0099,user_99,user99@example.com,FR,1710,133d79c3309d4388,90.63.144.186,AS7922,2,1,2645,2021-04-26,bot_crawler,unknown,0
U0051,user_51,user51@example.com,AU,1567,d3fd0313e2b04209,101.160.217.57,AS7922,0,0,1640,2021-09-16,bot_crawler,unknown,0
U0044,user_44,user44@example.com,FR,1390,04840810b554425d,90.63.160.170,AS15169,1,0,1220,2022-03-12,Safari,tablet,0
U0034,user_34,user34@example.com,US,1334,3a40c80861a04eda,192.168.82.190,AS15169,1,0,3819,2022-05-07,bot_crawler,unknown,0
U0089,user_89,user89@example.com,US,1410,c036571a4cb84873,192.168.10.196,AS7018,0,0,2407,2022-02-20,bot_crawler,desktop,0
U0010,user_10,user10@example.com,AU,15,8e5eab1328644597,192.168.78.161,AS14061,5,6,22,2025-12-16,Edge,desktop,1
U0086,user_86,user86@example.com,JP,1356,1cd0db9e2c4c492f,202.232.136.212,AS3320,0,0,1365,2022-04-15,Chrome,desktop,0
U0092,user_92,user92@example.com,JP,620,b4e502dd34b64c42,202.232.18.117,AS16509,2,1,921,2024-04-20,Safari,tablet,0
U0019,user_19,user19@example.com,AU,419,4b0b85175b664570,101.160.49.169,AS7922,1,1,3731,2024-11-07,Safari,unknown,0
U0002,user_2,user2@example.com,US,6,75fbfc89a482457c,41.207.101.184,AS14061,3,2,4664,2025-12-25,Edge,mobile,1
U0100,user_100,user100@example.com,ZA,1133,78b61040dd5c4be6,196.25.176.86,AS16509,0,1,4721,2022-11-24,bot_crawler,unknown,0
U0068,user_68,user68@example.com,BR,171,41fa29c2c847405d,187.0.174.4,AS7018,1,1,3641,2025-07-13,Edge,desktop,0
U0077,user_77,user77@example.com,AU,596,2ae78e61ce814c01,101.160.144.252,AS7018,2,1,1023,2024-05-14,Firefox,tablet,0
U0057,user_57,user57@example.com,BR,157,b221c63a4e23472f,187.0.215.100,AS3320,1,1,4984,2025-07-27,Chrome,unknown,0
U0013,user_13,user13@example.com,CA,0,1eb46e2455724a72,142.36.9.29,AS16509,8,3,2719,2025-12-31,Firefox,desktop,1
U0043,user_43,user43@example.com,JP,551,6684a51cbf0f4d18,202.232.223.1,AS7922,2,0,4459,2024-06-28,bot_crawler,mobile,0
U0076,user_76,user76@example.com,DE,1507,d2bc10b1f0a545a1,91.194.161.31,AS3320,0,0,4589,2021-11-15,Firefox,mobile,0
U0065,user_65,user65@example.com,CN,1600,fc7b187608f24dcc,101.6.85.156,AS15169,2,1,1138,2021-08-14,Firefox,tablet,0
U0017,user_17,user17@example.com,US,498,38cae111911243b9,192.168.16.221,AS7922,0,0,2906,2024-08-20,Chrome,mobile,0
U0005,user_5,user5@example.com,KR,9,fd0878ef389647d1,59.6.185.148,AS7018,9,2,3,2025-12-22,Chrome,mobile,1
U0064,user_64,user64@example.com,AU,518,0a7ea82979be4b91,101.160.242.172,AS3320,0,0,1137,2024-07-31,bot_crawler,mobile,0
U0020,user_20,user20@example.com,JP,1409,fb2ece9dba1d40b8,202.232.31.104,AS7922,1,0,2979,2022-02-21,Chrome,mobile,0
U0084,user_84,user84@example.com,CA,1160,e69e592b86094e90,142.36.80.1,AS7922,0,0,3546,2022-10-28,Edge,unknown,0
U0085,user_85,user85@example.com,DE,620,4678326f6dbc4c85,91.194.232.19,AS15169,0,0,2112,2024-04-20,Safari,mobile,0
U0094,user_94,user94@example.com,NG,1586,81dbb0b54ae74b03,41.207.104.69,AS7922,1,1,4699,2021-08-28,Firefox,tablet,0
U0049,user_49,user49@example.com,RU,1681,38d39832d391480c,95.163.75.7,AS3320,1,0,578,2021-05-25,Firefox,unknown,0
U0061,user_61,user61@example.com,GB,307,b9a0fce6d70c43dd,86.6.93.13,AS16509,2,1,2331,2025-02-27,Edge,tablet,0
U0041,user_41,user41@example.com,FR,1421,009b671141aa4303,90.63.169.241,AS7018,2,1,426,2022-02-09,Chrome,tablet,0
U0006,user_6,user6@example.com,MX,7,f4329b6b8b3c419e,200.57.142.117,AS16509,7,2,3188,2025-12-24,Firefox,tablet,1
U0053,user_53,user53@example.com,MX,1731,bf6ea47f0d694c43,200.57.228.230,AS7018,1,1,1503,2021-04-05,Edge,unknown,0
U0030,user_30,user30@example.com,CA,530,a0e9cccfa2774051,142.36.145.41,AS15169,1,0,3789,2024-07-19,bot_crawler,tablet,0
U0050,user_50,user50@example.com,NG,878,b865bf5af80c4578,41.207.99.184,AS7018,0,1,3345,2023-08-06,Edge,unknown,0
U0074,user_74,user74@example.com,MX,632,e96627a84b564e13,200.57.207.178,AS3320,0,0,2193,2024-04-08,Safari,tablet,0
U0031,user_31,user31@example.com,NG,1397,a2b5a87740f44fda,41.207.153.239,AS7018,2,0,1048,2022-03-05,Firefox,tablet,0
U0090,user_90,user90@example.com,MX,1092,969fc44a91cb41f8,200.57.142.47,AS16509,0,1,4995,2023-01-04,Edge,unknown,0
U0025,user_25,user25@example.com,US,1561,f79f721d00094dbb,192.168.29.13,AS15169,2,0,4985,2021-09-22,Edge,mobile,0
U0042,user_42,user42@example.com,CA,108,2ec87db112ed40c2,142.36.222.89,AS7922,2,1,2769,2025-09-14,Edge,desktop,0
U0059,user_59,user59@example.com,CN,922,efa6c11e0130491b,101.6.14.100,AS16509,0,1,2953,2023-06-23,Edge,mobile,0
